sentence,labels,scores,ESG
"in addition to electricity, cern also uses natural gas for  heating, fuel for its fleet of vehicles and diesel for emergency generators.","['natural resources', 'emissions', 'transparancy', 'pollution', 'corporate compliance', 'diversity and inclusion', 'health and safety', 'board accountability', 'philanthropy', 'training and education']","[0.49525473465082603, 0.2589147207944869, 0.0616249344325874, 0.05451618396192823, 0.05034089900999812, 0.034219930901192554, 0.023246142711825537, 0.018758065636431377, 0.0017563488570829827, 0.001368039043640836]","['E', 'E', 'G', 'E', 'G', 'S', 'S', 'G', 'S', 'S']"
it also uses commercial liquid nitrogen for cooling and photovoltaic energy produced on site.,"['natural resources', 'transparancy', 'emissions', 'diversity and inclusion', 'corporate compliance', 'board accountability', 'philanthropy', 'health and safety', 'pollution', 'training and education']","[0.5228039197608252, 0.16826662174986023, 0.1141849013316174, 0.06718896325884258, 0.04069942099806375, 0.03166342335491801, 0.020183731098077216, 0.017071743132922035, 0.015394634289958038, 0.0025426410249155445]","['E', 'G', 'E', 'S', 'G', 'G', 'S', 'S', 'E', 'S']"
"in 2021 and 2022, cern consumed 67 gwh (240 tj) and 51 gwh (184 tj) of fossil fuels, respectively.","['emissions', 'natural resources', 'pollution', 'transparancy', 'corporate compliance', 'health and safety', 'board accountability', 'diversity and inclusion', 'training and education', 'philanthropy']","[0.2845696544999029, 0.2712097880701466, 0.25983144258940827, 0.051691671670067905, 0.04588533866448629, 0.03962019821408801, 0.03292913012821183, 0.013109312474788725, 0.0008543584392102524, 0.00029910524968921074]","['E', 'E', 'E', 'G', 'G', 'S', 'G', 'S', 'S', 'S']"
"energy procurement represents around 5% of cerns annual budget when the accelerators are running, and less during shutdown periods.","['emissions', 'natural resources', 'transparancy', 'board accountability', 'corporate compliance', 'diversity and inclusion', 'pollution', 'health and safety', 'philanthropy', 'training and education']","[0.3356104064999236, 0.23974539955341678, 0.2025845493018065, 0.07273784030614397, 0.06724657368462009, 0.063262926921589, 0.0101289699538679, 0.0063638647361177695, 0.00212351421518699, 0.00019595482732743692]","['E', 'E', 'G', 'G', 'G', 'S', 'E', 'S', 'S', 'S']"
"this is expected to change markedly as of 2023, in light of  the rising costs of energy worldwide.","['emissions', 'transparancy', 'natural resources', 'pollution', 'diversity and inclusion', 'corporate compliance', 'board accountability', 'health and safety', 'philanthropy', 'training and education']","[0.4221188909535997, 0.2912724807527831, 0.16828856108222137, 0.05475279659560843, 0.024997878114253927, 0.01414165411000544, 0.01346922364874802, 0.007763109866022122, 0.0022461355951045544, 0.0009492692816532803]","['E', 'G', 'E', 'E', 'S', 'G', 'G', 'S', 'S', 'S']"
"the overarching principles of cerns energy strategy,  guided by the energy management panel (emp) established in 2015, can be summarised in three key concepts : use less, increase efficiency and recover waste energy.","['natural resources', 'corporate compliance', 'transparancy', 'emissions', 'pollution', 'board accountability', 'diversity and inclusion', 'health and safety', 'training and education', 'philanthropy']","[0.3479921054994468, 0.24035389509580976, 0.1584856163110276, 0.13043646610346615, 0.04160342390735795, 0.04157887194327743, 0.016546921250470296, 0.008180669044391149, 0.007964682763266638, 0.00685734808148622]","['E', 'G', 'G', 'E', 'E', 'G', 'S', 'S', 'S', 'S']"
"the emp has driven major efforts to reduce electricity  consumption through optimisation and dedicated actions, resulting in savings of some 100 gwh/year since 2010.","['emissions', 'natural resources', 'corporate compliance', 'transparancy', 'pollution', 'board accountability', 'diversity and inclusion', 'philanthropy', 'health and safety', 'training and education']","[0.3334943978959642, 0.24837404562748594, 0.19561322611726797, 0.08982273340216793, 0.05636889950717584, 0.039757524818316056, 0.019003287527683835, 0.008995910833646278, 0.007389104466219116, 0.00118086980407287]","['E', 'E', 'G', 'G', 'E', 'G', 'S', 'S', 'S', 'S']"
the process of defining and agreeing upon longer-term  objectives continues and these will be set out in future reports.,"['natural resources', 'emissions', 'corporate compliance', 'diversity and inclusion', 'philanthropy', 'transparancy', 'board accountability', 'pollution', 'health and safety', 'training and education']","[0.40402006234909077, 0.1404894593343041, 0.13064300729849476, 0.10437400861819561, 0.10035389491593533, 0.039419612129170535, 0.03455282535498308, 0.026588176215627233, 0.014251312360291276, 0.0053076414239073425]","['E', 'E', 'G', 'S', 'S', 'G', 'G', 'E', 'S', 'S']"
"cern carried out its first materiality analysis in 2019, and  the resulting set of topics and disclosures were covered in both the first and second environment reports.","['natural resources', 'emissions', 'corporate compliance', 'pollution', 'board accountability', 'transparancy', 'diversity and inclusion', 'health and safety', 'training and education', 'philanthropy']","[0.3269349638751781, 0.23014037930018194, 0.22595059361987316, 0.09050665430817842, 0.05066364762465358, 0.02447691657548494, 0.023801131339098745, 0.021080653961440918, 0.003988785710364351, 0.0024562736855458216]","['E', 'E', 'G', 'E', 'G', 'G', 'S', 'S', 'S', 'S']"
"the analysis was updated in 2022 following stakeholder interviews on topics drawn from the gri sustainability reporting standards, as well as on some cern-specific topics not covered by the gri standards but deemed by cern and key stakeholders to be of material importance in the cern context.","['natural resources', 'transparancy', 'corporate compliance', 'emissions', 'diversity and inclusion', 'board accountability', 'pollution', 'training and education', 'health and safety', 'philanthropy']","[0.2591000678165686, 0.2313557219732135, 0.20305314224566792, 0.14655860502213558, 0.06795343583207314, 0.04788836583294996, 0.029321567923436088, 0.007172990167146099, 0.004362957280182993, 0.0032331459066261407]","['E', 'G', 'G', 'E', 'S', 'G', 'E', 'S', 'S', 'S']"
"the process, run in collaboration with an external consultant,  involved the creation of a focus group, on which both internal and external stakeholders chosen to represent the diversity of viewpoints at cern were represented, in order to prioritise the topics to be covered.","['diversity and inclusion', 'training and education', 'transparancy', 'corporate compliance', 'board accountability', 'natural resources', 'health and safety', 'philanthropy', 'emissions', 'pollution']","[0.5486414901204134, 0.13248837618404288, 0.07765964954733474, 0.06667366180919065, 0.061760171474328385, 0.04833569222721928, 0.02289066613695338, 0.021781317960881542, 0.01639709824407419, 0.003371876295561497]","['S', 'S', 'G', 'G', 'G', 'E', 'S', 'S', 'E', 'E']"
these interviews served to establish the relative importance of topics to cern stakeholders.,"['transparancy', 'natural resources', 'diversity and inclusion', 'corporate compliance', 'board accountability', 'training and education', 'health and safety', 'emissions', 'philanthropy', 'pollution']","[0.2724338246186655, 0.16506114151808032, 0.14318818518396007, 0.1332869208117727, 0.0757276306730594, 0.07401083978352675, 0.05636393514814917, 0.04497536306470555, 0.025174202879588128, 0.009777956318492372]","['G', 'E', 'S', 'G', 'G', 'S', 'S', 'E', 'S', 'E']"
"the topics were subsequently prioritised based on severity and likelihood, resulting in the materiality matrix that was approved by the enlarged directorate in october 2022. .","['corporate compliance', 'emissions', 'board accountability', 'training and education', 'transparancy', 'natural resources', 'diversity and inclusion', 'health and safety', 'pollution', 'philanthropy']","[0.24471996357408468, 0.14301912007746187, 0.14269049019015342, 0.1259334163882799, 0.09029028688402582, 0.07231815428585596, 0.07115394168884173, 0.05636556063620187, 0.036056698392920944, 0.0174523678821738]","['G', 'E', 'G', 'S', 'G', 'E', 'S', 'S', 'E', 'S']"
"quantity of electricity used to run the lhc per unit of luminosity  delivered, showing that less and less electricity has been needed over time to produce the same amount of data and, hence, scientific output.","['natural resources', 'transparancy', 'diversity and inclusion', 'emissions', 'board accountability', 'pollution', 'health and safety', 'corporate compliance', 'philanthropy', 'training and education']","[0.5198815808320628, 0.44499800689825375, 0.011678625373634482, 0.011557258734821644, 0.005958506213836362, 0.001856081093294301, 0.0014530158830897346, 0.001168890942514796, 0.0010418850848815605, 0.00040614894361061017]","['E', 'G', 'S', 'E', 'G', 'E', 'S', 'G', 'S', 'S']"
"during the year after each long shutdown, while the machines are being brought back online and progressively ramped up, the luminosity delivered is not at its maximum  as seen in 2022 and 2029. .","['transparancy', 'emissions', 'natural resources', 'pollution', 'diversity and inclusion', 'board accountability', 'health and safety', 'corporate compliance', 'philanthropy', 'training and education']","[0.3450414490502351, 0.3053374558686237, 0.16883430805149738, 0.04931967476231461, 0.03350324403848895, 0.032614108935165566, 0.02180906715266207, 0.020859605060861486, 0.01932799750373967, 0.0033530895764114824]","['G', 'E', 'E', 'E', 'S', 'G', 'S', 'G', 'S', 'S']"
"cern strives to further diversify its energy mix and,  to that end, is looking to incorporate more renewable energy sources in the future.","['diversity and inclusion', 'natural resources', 'emissions', 'transparancy', 'corporate compliance', 'pollution', 'board accountability', 'health and safety', 'philanthropy', 'training and education']","[0.3296600201376227, 0.29732713842863934, 0.13762759816317305, 0.09601505567595503, 0.07261394011894605, 0.022401607132833404, 0.01595108475321823, 0.014132852836538623, 0.01319020092830051, 0.0010805018247731066]","['S', 'E', 'E', 'G', 'G', 'E', 'G', 'S', 'S', 'S']"
"various solutions are being investigated, such as power purchase agreements (ppa contractual agreements between energy buyers and sellers).","['natural resources', 'transparancy', 'emissions', 'corporate compliance', 'diversity and inclusion', 'pollution', 'board accountability', 'health and safety', 'philanthropy', 'training and education']","[0.4058258083096224, 0.19417420554779988, 0.16916313802037833, 0.0892483895174298, 0.07284222252952532, 0.04056686859548096, 0.022185397817490887, 0.004505692919217824, 0.001131449626319259, 0.00035682711673537337]","['E', 'G', 'E', 'G', 'S', 'E', 'G', 'S', 'S', 'S']"
"studies and negotiations with potential suppliers have begun  in order to explore concrete possibilities, notably with regard to photovoltaic energy for the organizations long-term requirements.","['corporate compliance', 'transparancy', 'natural resources', 'emissions', 'diversity and inclusion', 'board accountability', 'philanthropy', 'pollution', 'health and safety', 'training and education']","[0.34010561157026464, 0.19873734107687133, 0.16104009269210207, 0.1426277035891975, 0.0579914163052595, 0.0476626052997323, 0.02826914542215827, 0.013531897676963627, 0.008961802757016192, 0.0010723836104345815]","['G', 'G', 'E', 'E', 'S', 'G', 'S', 'E', 'S', 'S']"
"more locally, solar panels installed on the new science gateway building, which is due to open in 2023, will inject unused photovoltaic energy into cerns grid.","['natural resources', 'transparancy', 'emissions', 'diversity and inclusion', 'philanthropy', 'board accountability', 'training and education', 'pollution', 'health and safety', 'corporate compliance']","[0.6403722956605309, 0.14780944214098857, 0.11216995622536739, 0.06617971093221037, 0.01170573347521111, 0.009543944384390166, 0.0042922894419394775, 0.003323082543250564, 0.002942118419280147, 0.0016614267768312798]","['E', 'G', 'E', 'S', 'S', 'G', 'S', 'E', 'S', 'G']"
"in line with the priority to recover waste energy, the  equipment that has been installed at lhc point 8 to collect heat from cern facilities to heat a residential area in neighbouring ferney-voltaire is ready to be connected.","['natural resources', 'transparancy', 'board accountability', 'emissions', 'diversity and inclusion', 'corporate compliance', 'pollution', 'philanthropy', 'health and safety', 'training and education']","[0.6018756951171298, 0.20019990697687456, 0.05040482256766256, 0.04269166668762007, 0.04117019653510301, 0.03277057366525139, 0.02040673339695488, 0.006660455383047514, 0.002824430892715051, 0.0009955187776411831]","['E', 'G', 'G', 'E', 'S', 'G', 'E', 'S', 'S', 'S']"
"cerns main product is data, which is produced in particle  beam collisions and recorded by the lhc experiments.","['transparancy', 'board accountability', 'corporate compliance', 'emissions', 'diversity and inclusion', 'health and safety', 'pollution', 'natural resources', 'philanthropy', 'training and education']","[0.748315151290278, 0.07119835907752224, 0.06050690951812309, 0.040528851950195545, 0.02566220524494599, 0.023895874293103275, 0.017666207701751174, 0.008059104818472445, 0.002540087956197569, 0.0016272481494106622]","['G', 'G', 'G', 'E', 'S', 'S', 'E', 'E', 'S', 'S']"
"this data is analysed on the wlcg, one of the worlds largest computing infrastructures, which is managed and operated by a worldwide collaboration consisting of cern, the lhc experiments and the participating computer centres.","['transparancy', 'emissions', 'board accountability', 'health and safety', 'diversity and inclusion', 'natural resources', 'pollution', 'corporate compliance', 'philanthropy', 'training and education']","[0.5789874365241348, 0.18092911403810555, 0.07251280004323274, 0.05070625699843608, 0.04975254738978337, 0.03252029152515466, 0.01404095089028638, 0.009522153335513183, 0.007724727810419311, 0.003303721444933921]","['G', 'E', 'G', 'S', 'S', 'E', 'E', 'G', 'S', 'S']"
the wlcg energy consumption statistics included in this report relate only to the facilities owned or operated by cern.,"['natural resources', 'corporate compliance', 'transparancy', 'emissions', 'board accountability', 'pollution', 'diversity and inclusion', 'health and safety', 'philanthropy', 'training and education']","[0.49813107986105465, 0.2576161079885199, 0.07501324576886204, 0.050225163690947025, 0.0449718466783122, 0.03587346156120133, 0.023183467908752028, 0.009593595787318686, 0.004431954249182273, 0.0009600765058499075]","['E', 'G', 'G', 'E', 'G', 'E', 'S', 'S', 'S', 'S']"
"by the time the hl-lhc starts up in 2029, the total  computing capacity required by the experiments is expected to have grown by up to a factor of 10.","['transparancy', 'diversity and inclusion', 'board accountability', 'natural resources', 'emissions', 'health and safety', 'philanthropy', 'corporate compliance', 'training and education', 'pollution']","[0.5224338216112379, 0.21735047342603372, 0.0682143603024641, 0.05162148190640907, 0.04577852354673622, 0.02801121768494611, 0.022768755324830775, 0.02206167618292952, 0.013239882666319924, 0.008519807348092719]","['G', 'S', 'G', 'E', 'E', 'S', 'S', 'G', 'S', 'E']"
"to meet these increased needs, a new data centre in prvessin, the construction of which began in april 2022, will provide computing resources of up to a total energy power requirement of 12 megawatts, which will be delivered in three phases.","['transparancy', 'diversity and inclusion', 'emissions', 'natural resources', 'corporate compliance', 'board accountability', 'pollution', 'philanthropy', 'health and safety', 'training and education']","[0.31957307773307203, 0.1962210169789668, 0.1949059440455179, 0.12468161331688309, 0.07116444775055807, 0.04659582271512767, 0.0217384685148929, 0.017258957856428593, 0.005989636111424161, 0.0018710149771287998]","['G', 'S', 'E', 'E', 'G', 'G', 'E', 'S', 'S', 'S']"
the objective is to achieve a power usage effectiveness (puean indicator used for measuring the energy efficiency of a data centre) of around 1.1.,"['corporate compliance', 'transparancy', 'natural resources', 'emissions', 'board accountability', 'pollution', 'diversity and inclusion', 'health and safety', 'training and education', 'philanthropy']","[0.49173254531985566, 0.33515250092480076, 0.05322493259449824, 0.04050516274863875, 0.038933748843894944, 0.016479524489828583, 0.012458276402069946, 0.0041967733994330665, 0.0037270223520902367, 0.0035895129248898327]","['G', 'G', 'E', 'E', 'G', 'E', 'S', 'S', 'S', 'S']"
"for context, the global average pue for large data centres is around 1.5, with new data centres typically achieving between 1.2 and 1.4 (the closer to 1.0, the better the score).","['transparancy', 'diversity and inclusion', 'emissions', 'corporate compliance', 'board accountability', 'health and safety', 'pollution', 'natural resources', 'philanthropy', 'training and education']","[0.704968707490083, 0.1024965546272742, 0.05253756491492369, 0.045290699852882775, 0.0386724429927871, 0.01891650581565187, 0.015777862459444545, 0.009778200107079839, 0.006747523680885718, 0.004813938058987318]","['G', 'S', 'E', 'G', 'G', 'S', 'E', 'E', 'S', 'S']"
the pue of the existing cern data centre in meyrin is about 1.5.,"['transparancy', 'natural resources', 'diversity and inclusion', 'emissions', 'corporate compliance', 'pollution', 'health and safety', 'board accountability', 'philanthropy', 'training and education']","[0.2739332836840984, 0.2331397366771206, 0.154085463224809, 0.09535422613336625, 0.07253082308173661, 0.06019669531009263, 0.04551072852067969, 0.04136997243020907, 0.012843131085359671, 0.01103593985252807]","['G', 'E', 'S', 'E', 'G', 'E', 'S', 'G', 'S', 'S']"
"energy efficiency is a key consideration in this project, which  includes plans for a system to recover heat to heat all 73 buildings on the prvessin site.","['corporate compliance', 'transparancy', 'natural resources', 'philanthropy', 'emissions', 'board accountability', 'diversity and inclusion', 'health and safety', 'pollution', 'training and education']","[0.4535919470072638, 0.20941722294734905, 0.20473149903061538, 0.041765125966328455, 0.04051941669643291, 0.021176973861356585, 0.019805768482582996, 0.004129007489428824, 0.003955253307159355, 0.0009077852114826291]","['G', 'G', 'E', 'S', 'E', 'G', 'S', 'S', 'E', 'S']"
"to optimise its energy management approach, cern  collaborates closely with its stakeholders, notably with its main electricity supplier, lectricit de france (edf), and with the host states, through the tripartite committee for the environment (cte), which was established in 2007. .","['emissions', 'transparancy', 'diversity and inclusion', 'natural resources', 'corporate compliance', 'pollution', 'board accountability', 'philanthropy', 'health and safety', 'training and education']","[0.4596601788011618, 0.23373793301138537, 0.10932165733549755, 0.06334246501774655, 0.04754912144247293, 0.04544507347301935, 0.03341443294758493, 0.003538606487945234, 0.0028695170705147115, 0.0011210144126715953]","['E', 'G', 'S', 'E', 'G', 'E', 'G', 'S', 'S', 'S']"
"run periods refer to the years in which the accelerators are in operation, with occasional technical stops as and when necessary.","['natural resources', 'health and safety', 'diversity and inclusion', 'transparancy', 'corporate compliance', 'emissions', 'board accountability', 'pollution', 'philanthropy', 'training and education']","[0.839247440242779, 0.05868117690645506, 0.04141123622090723, 0.02671847885992586, 0.010642007117287028, 0.007740461490416451, 0.0073146750087960954, 0.0034116205563190266, 0.003180506011079503, 0.0016523975860347616]","['E', 'S', 'S', 'G', 'G', 'E', 'G', 'E', 'S', 'S']"
"outside these periods, the accelerator complex enters long shutdowns for essential maintenance and consolidation.","['natural resources', 'transparancy', 'corporate compliance', 'health and safety', 'emissions', 'board accountability', 'diversity and inclusion', 'pollution', 'philanthropy', 'training and education']","[0.5830059659655684, 0.1439348198843789, 0.08777479153773037, 0.05562207722912897, 0.050443092701188685, 0.0309140749104058, 0.02645493598518259, 0.01446228529111963, 0.005703423334181256, 0.0016845331611154105]","['E', 'G', 'G', 'S', 'E', 'G', 'S', 'E', 'S', 'S']"
"as for all other objectives that were set in the first  environment report and whose original target date was 2024, the target has shifted concomitantly with the shift in the accelerator schedule.","['emissions', 'natural resources', 'pollution', 'corporate compliance', 'transparancy', 'board accountability', 'diversity and inclusion', 'philanthropy', 'health and safety', 'training and education']","[0.41488713167994673, 0.26441847944525126, 0.16470579892909387, 0.0529308761467286, 0.05065151805698198, 0.03506012149856084, 0.011211818480231828, 0.002772227284646814, 0.0023802146780991787, 0.0009818138004588691]","['E', 'E', 'E', 'G', 'G', 'G', 'S', 'S', 'S', 'S']"
cerns objective is therefore to reduce its scope 1 emissions by 28% by the end of run 3 (baseline: 2018).,"['emissions', 'pollution', 'corporate compliance', 'natural resources', 'board accountability', 'transparancy', 'diversity and inclusion', 'health and safety', 'philanthropy', 'training and education']","[0.32497817318539396, 0.281432527014782, 0.20977210695349885, 0.08360806325542028, 0.05992480382698312, 0.0335081589582561, 0.0030331528986856037, 0.0024979778194560804, 0.0009247174235999264, 0.00032031866392404887]","['E', 'E', 'G', 'E', 'G', 'G', 'S', 'S', 'S', 'S']"
"with the gradual restart of the accelerator complex in 2021  ready for the launch of run 3 of the lhc in mid-2022, the total amount of scope 1 greenhouse gas emissions was higher than in the period 20192020, when the accelerators were not running, namely 123 174 and 184 173 tonnes of co2 equivalent (tco2e) in 2021 and 2022 respectively.","['emissions', 'pollution', 'natural resources', 'transparancy', 'corporate compliance', 'board accountability', 'diversity and inclusion', 'health and safety', 'philanthropy', 'training and education']","[0.3131368204495148, 0.30378188697486835, 0.22245781468303433, 0.055480283114444605, 0.03743667601978869, 0.035431429390140524, 0.021167569526187112, 0.007154063955810589, 0.0029143829406343344, 0.0010390729455766869]","['E', 'E', 'E', 'G', 'G', 'G', 'S', 'S', 'S', 'S']"
"the tco2e values have been calculated based on the real  consumption of the different gases, weighted by their gwp.","['emissions', 'pollution', 'natural resources', 'transparancy', 'health and safety', 'diversity and inclusion', 'corporate compliance', 'board accountability', 'training and education', 'philanthropy']","[0.3755148840675162, 0.3011690890372241, 0.20150058110740499, 0.05428063421771483, 0.03498901501972984, 0.011578586644625778, 0.011205106932852751, 0.0064749146043785516, 0.002287643538147255, 0.000999544830405695]","['E', 'E', 'E', 'G', 'S', 'S', 'G', 'G', 'S', 'S']"
"the gwp is based on the ipcc fourth assessment report, 2007 (ar4), which is also the reference used in eu regulation 517/2014 on fluorinated greenhouse gases.","['emissions', 'pollution', 'health and safety', 'natural resources', 'transparancy', 'board accountability', 'corporate compliance', 'diversity and inclusion', 'training and education', 'philanthropy']","[0.3960761331312974, 0.36501895323351996, 0.09843549117582295, 0.07973069252066617, 0.01948748836443233, 0.015967754777922585, 0.013834931033210316, 0.00959124782476182, 0.0015008341444928451, 0.00035647379387361116]","['E', 'E', 'S', 'E', 'G', 'G', 'G', 'S', 'S', 'S']"
"the current strategy to optimise the use of gases in the  experiments rests on the following pillars: gas recirculation, gas recovery and the search for more environmentally friendly alternatives to the gases currently used.","['natural resources', 'emissions', 'pollution', 'transparancy', 'diversity and inclusion', 'board accountability', 'health and safety', 'philanthropy', 'corporate compliance', 'training and education']","[0.479366307569897, 0.33821125607941993, 0.10835115231720456, 0.04565630342697072, 0.011731773574553834, 0.008155332327376858, 0.00408488892883873, 0.002401548734487433, 0.001520066246118879, 0.0005213707951320347]","['E', 'E', 'E', 'G', 'S', 'G', 'S', 'S', 'G', 'S']"
"during run 2 of the large hadron collider (lhc), cern tested a prototype plant for the recuperation of hfc-134a gas using a real detector.","['emissions', 'pollution', 'natural resources', 'health and safety', 'transparancy', 'diversity and inclusion', 'board accountability', 'training and education', 'philanthropy', 'corporate compliance']","[0.406475633111335, 0.24978070434701422, 0.13012351007687686, 0.09787661594074938, 0.07283244524086538, 0.021194267375845153, 0.014091533756452893, 0.006422850954826677, 0.0006727555665552215, 0.0005296836294792262]","['E', 'E', 'E', 'S', 'G', 'S', 'G', 'S', 'S', 'G']"
the results show a recovery efficiency of close to 80%.,"['natural resources', 'transparancy', 'corporate compliance', 'health and safety', 'board accountability', 'emissions', 'pollution', 'diversity and inclusion', 'training and education', 'philanthropy']","[0.5094102112936989, 0.11868920235764721, 0.09221542011851569, 0.0655592696633893, 0.05739759861255442, 0.04011372186891964, 0.03895291129192808, 0.03357744754612342, 0.022649580896050785, 0.02143463635117256]","['E', 'G', 'G', 'S', 'G', 'E', 'E', 'S', 'S', 'S']"
an updated prototype has been finalised and will be operational in the cms experiment by march 2023.,"['transparancy', 'natural resources', 'emissions', 'diversity and inclusion', 'health and safety', 'corporate compliance', 'board accountability', 'pollution', 'philanthropy', 'training and education']","[0.23863831752335135, 0.23024963888005753, 0.16075222014518756, 0.11750641005282421, 0.10077178170131801, 0.05131472470861202, 0.047804156499970094, 0.022815221235894093, 0.022103537971033572, 0.008043991281751576]","['G', 'E', 'E', 'S', 'S', 'G', 'G', 'E', 'S', 'S']"
"a new cf4 recovery plant was designed, built and  successfully implemented for the rich2 detector in the lhcb experiment.","['natural resources', 'emissions', 'health and safety', 'transparancy', 'pollution', 'diversity and inclusion', 'training and education', 'board accountability', 'corporate compliance', 'philanthropy']","[0.5077423877756755, 0.21393943784742794, 0.08800301308457867, 0.06312627498376618, 0.052557836017904765, 0.038365184815305514, 0.012143670171392455, 0.00907833488127973, 0.008572347079230621, 0.006471513343438679]","['E', 'E', 'S', 'G', 'E', 'S', 'S', 'G', 'G', 'S']"
intense r&d activity is under way to identify possible  alternatives to the greenhouse gases currently used in particle detection.,"['emissions', 'pollution', 'natural resources', 'transparancy', 'health and safety', 'diversity and inclusion', 'training and education', 'board accountability', 'corporate compliance', 'philanthropy']","[0.38347945493227564, 0.3605742065370633, 0.1089764566712146, 0.07121591274599236, 0.047463607111200665, 0.012519955332962178, 0.011333505379127407, 0.002363912075830744, 0.0010777965875942374, 0.000995192626738819]","['E', 'E', 'E', 'G', 'S', 'S', 'S', 'G', 'G', 'S']"
"new gases with a lower gwp, as well as the partial replacement of hfc-134a with co2, are currently being tested for the future.","['emissions', 'pollution', 'transparancy', 'natural resources', 'health and safety', 'diversity and inclusion', 'board accountability', 'corporate compliance', 'philanthropy', 'training and education']","[0.323345756222336, 0.2637104385866137, 0.1471491262143775, 0.1281702809982053, 0.0959877248663031, 0.025471867043085718, 0.007165557722231448, 0.0061038629250650565, 0.0015135848195174057, 0.001381800602264777]","['E', 'E', 'G', 'E', 'S', 'S', 'G', 'G', 'S', 'S']"
"the main contributors to cerns f-gas emissions are small  leaks in the detectors caused by their light construction, which is dictated by the need to ensure that they fit inside the compact spaces that house them.","['emissions', 'pollution', 'health and safety', 'natural resources', 'transparancy', 'diversity and inclusion', 'corporate compliance', 'board accountability', 'philanthropy', 'training and education']","[0.31996169531372187, 0.2962917263169984, 0.17357667135275562, 0.16360338539247601, 0.02580977955761532, 0.007045835654987964, 0.00612520643634226, 0.005135600003966786, 0.0014412191304887972, 0.0010088808406470248]","['E', 'E', 'S', 'E', 'G', 'S', 'G', 'G', 'S', 'S']"
"as leaks occur regularly, systematic leak-repair campaigns are organised to ensure that they are contained and minimised.","['natural resources', 'corporate compliance', 'health and safety', 'pollution', 'emissions', 'board accountability', 'transparancy', 'training and education', 'diversity and inclusion', 'philanthropy']","[0.19786549058801833, 0.17789990166451947, 0.1775200943214518, 0.1259996702455347, 0.09051298420635016, 0.08836434928434798, 0.0730482924220889, 0.03390647293241354, 0.02605736673746647, 0.008825377597808583]","['E', 'G', 'S', 'E', 'E', 'G', 'G', 'S', 'S', 'S']"
the leak-repair campaign launched by the atlas and cms experiments during the second long shutdown (ls2) progressed well in the reporting period.,"['natural resources', 'health and safety', 'pollution', 'emissions', 'transparancy', 'board accountability', 'corporate compliance', 'diversity and inclusion', 'training and education', 'philanthropy']","[0.2893672506268659, 0.21870603414282555, 0.1804164635855856, 0.1666362116349906, 0.08650647245987134, 0.02484196957329882, 0.018810912181627944, 0.008757893969281921, 0.004058349250620982, 0.0018984425750313606]","['E', 'S', 'E', 'E', 'G', 'G', 'G', 'S', 'S', 'S']"
"it will continue in a later shutdown, when access will be possible again.","['natural resources', 'transparancy', 'health and safety', 'diversity and inclusion', 'corporate compliance', 'board accountability', 'training and education', 'emissions', 'philanthropy', 'pollution']","[0.302000397889416, 0.28284518463914726, 0.08291938657778675, 0.0821851766491312, 0.07618643255123894, 0.06058703504920337, 0.0431270257398537, 0.03325162072647993, 0.02270597759792252, 0.014191762579820324]","['E', 'G', 'S', 'S', 'G', 'G', 'S', 'E', 'S', 'E']"
both experiments continued to invest in r&d to reduce detector leaks and prepare for a transition from pfcs to co2 cooling.,"['emissions', 'training and education', 'transparancy', 'health and safety', 'natural resources', 'pollution', 'diversity and inclusion', 'board accountability', 'philanthropy', 'corporate compliance']","[0.306237856832922, 0.18395377616215075, 0.16277457122181413, 0.11653850692100151, 0.1034664155411672, 0.06486251631287558, 0.04574628968258718, 0.009639074613459324, 0.004942512753081208, 0.0018384799589411386]","['E', 'S', 'G', 'S', 'E', 'E', 'S', 'G', 'S', 'G']"
"emission calculations for electricity follow a location-based  methodology, with average yearly emission factors taken from ademe base empreinte.","['emissions', 'pollution', 'diversity and inclusion', 'natural resources', 'health and safety', 'board accountability', 'transparancy', 'corporate compliance', 'philanthropy', 'training and education']","[0.5523230594481087, 0.36356442238517966, 0.024792192337829647, 0.019171704844393445, 0.0168465245678605, 0.009644419526829708, 0.009606143069332943, 0.003574644573344274, 0.0003293472428477432, 0.0001475420042734329]","['E', 'E', 'S', 'E', 'S', 'G', 'G', 'G', 'S', 'S']"
"from 2017 to 2019, cern operated a data centre at the wigner centre in budapest, hungary, for which the emissions are also shown.","['emissions', 'pollution', 'natural resources', 'corporate compliance', 'transparancy', 'health and safety', 'board accountability', 'diversity and inclusion', 'training and education', 'philanthropy']","[0.3519659375691518, 0.34816243081656584, 0.11983330391024195, 0.07614163064499163, 0.057846792569821386, 0.03437415552053526, 0.01022350162207744, 0.0011862251007557579, 0.00013601192299679521, 0.00013001032286217125]","['E', 'E', 'E', 'G', 'G', 'S', 'G', 'S', 'S', 'S']"
the location-based emission factors used for hungary were taken from bilan carbone v8.4.,"['emissions', 'pollution', 'natural resources', 'health and safety', 'corporate compliance', 'diversity and inclusion', 'board accountability', 'transparancy', 'training and education', 'philanthropy']","[0.33214813071990107, 0.3206428168258245, 0.17875833025999452, 0.0968696243433214, 0.017324888079853915, 0.01675736277850357, 0.016586464334527616, 0.016346072512774597, 0.002532786765973057, 0.0020335233793257585]","['E', 'E', 'E', 'S', 'G', 'S', 'G', 'G', 'S', 'S']"
